epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,240478,Beatrice COVASSI,Member,2022-12-06,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96880,Andrea COZZOLINO,Member,2019-07-02,2023-01-17
Non-attached Members,NI,96880,Andrea COZZOLINO,Member,2023-01-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,33997,Corina CREȚU,Member,2019-07-02,
Renew Europe Group,RE,197588,Katalin CSEH,Vice-Chair,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197654,Ciarán CUFFE,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197394,Josianne CUTAJAR,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,28372,Ryszard CZARNECKI,Member,2019-07-02,
Group of the European People's Party,EPP,96809,Peter van DALEN,Member,2019-07-02,2023-09-03
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124970,Miriam DALLI,Vice-Chair,2019-07-02,2020-10-18
Group of the Greens/European Free Alliance,Greens/EFA,183338,Jakop G. DALUNDE,Member,2020-02-01,
Group of the European United Left,GUE/NGL,197731,Clare DALY,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197731,Clare DALY,Member,2020-12-18,
Non-attached Members,NI,124835,Rosa D'AMATO,Member,2019-07-02,2020-12-08
Group of the Greens/European Free Alliance,Greens/EFA,124835,Rosa D'AMATO,Member,2020-12-09,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124952,Seb DANCE,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,38542,Johan DANIELSSON,Member,2019-07-02,2021-11-29
Group of the European People's Party,EPP,96747,Arnaud DANJEAN,Vice-Chair,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124821,Nicola DANTI,Member,2019-09-05,2020-02-12
Renew Europe Group,RE,124821,Nicola DANTI,Member,2020-02-13,2021-10-18
Renew Europe Group,RE,124821,Nicola DANTI,Vice-Chair,2021-10-19,
Non-attached Members,NI,239258,Maria Angela DANZÌ,Member,2022-11-02,
Identity and Democracy Group,ID,197608,Gianantonio DA RE,Member,2019-07-02,
Non-attached Members,NI,197760,Martin Edward DAUBNEY,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,236050,Marie DAUCHY,Member,2022-07-29,
Identity and Democracy Group,ID,197556,Ivan DAVID,Member of the Bureau,2019-07-02,
Renew Europe Group,RE,4554,Chris DAVIES,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,239262,Elisabetta DE BLASIS,Member,2022-11-02,2023-09-10
Non-attached Members,NI,239262,Elisabetta DE BLASIS,Member,2023-09-11,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,228604,Ilan DE BASSO,Member,2021-12-14,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96891,Paolo DE CASTRO,Member,2019-07-02,
Renew Europe Group,RE,197504,Jérémy DECERLE,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197531,Gwendoline DELBOS-CORFIELD,Vice-Chair,2019-07-02,2022-01-10
Group of the Greens/European Free Alliance,Greens/EFA,197531,Gwendoline DELBOS-CORFIELD,Member,2022-01-11,
Group of the European People's Party,EPP,124714,Andor DELI,Member,2019-07-02,2021-03-04
Non-attached Members,NI,124714,Andor DELI,Member,2021-03-05,
Group of the Greens/European Free Alliance,Greens/EFA,96868,Karima DELLI,Member,2019-07-02,
Non-attached Members,NI,197736,Belinda DE LUCY,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,197472,Filip DE MAN,Member,2019-07-02,
Group of the European People's Party,EPP,204333,Salvatore DE MEO,Member,2020-02-01,
Group of the European United Left,GUE/NGL,197468,Özlem DEMIREL,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197468,Özlem DEMIREL,Member,2020-12-18,
Group of the Greens/European Free Alliance,Greens/EFA,197453,Anna DEPARNAY-GRUNENBERG,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197471,Petra DE SUTTER,Member,2019-07-02,2020-09-30
Group of the European People's Party,EPP,96826,Tamás DEUTSCH,Member,2019-07-02,2021-03-04
Non-attached Members,NI,96826,Tamás DEUTSCH,Member,2021-03-05,
Renew Europe Group,RE,197693,Dinesh DHAMIJA,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,190774,Geoffroy DIDIER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197640,André Jorge DIONÍSIO BRADFORD,Member,2019-07-02,2019-07-18
Renew Europe Group,RE,124709,Martina DLABAJOVÁ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197579,Klára DOBREV,Member,2019-07-02,
Non-attached Members,NI,96951,Diane DODDS,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,197473,Christian DOLESCHAL,Member,2019-07-02,
Renew Europe Group,RE,197595,Anna Júlia DONÁTH,Member,2019-07-02,
Identity and Democracy Group,ID,197822,Francesca DONATO,Member,2019-07-02,2021-10-05
Non-attached Members,NI,197822,Francesca DONATO,Member,2021-10-06,
Group of the European People's Party,EPP,96787,Herbert DORFMANN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197613,Gina DOWDING,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,197614,Marco DREOSTO,Member,2019-07-02,2022-10-12
Group of the European People's Party,EPP,197510,Jarosław DUDA,Member,2019-07-02,
Group of the European People's Party,EPP,99945,Lena DÜPONT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,198329,Estrella DURÁ FERRANDIS,Member,2019-07-02,
